Team,Opponent,Matches,Won,Lost,Ave,RPO
Bangladesh,Pakistan,4,4,0,50.42,6
New Zealand,West Indies,3,3,0,47,5.92
Afghanistan,Sri Lanka,1,1,0,24.9,4.98
Pakistan,Afghanistan,1,1,0,36.85,5.21
New Zealand,Pakistan,10,8,2,35.56,5.51
South Africa,Sri Lanka,16,14,2,44.97,6.27
England,Sri Lanka,10,7,3,43.95,6.27
New Zealand,Sri Lanka,8,6,2,54.27,6.96
Pakistan,West Indies,6,5,1,51.61,6
England,West Indies,13,9,4,45.14,6.59
Pakistan,Sri Lanka,11,9,2,44.15,5.44
Australia,Pakistan,5,4,1,42.14,6.06
Australia,Sri Lanka,5,4,1,31.67,5.02
South Africa,Australia,11,8,3,41.06,5.94
Sri Lanka,West Indies,5,4,1,32.24,5.68
India,Sri Lanka,9,7,2,54.11,6.03
New Zealand,Bangladesh,9,7,2,47.37,5.75
Afghanistan,West Indies,5,3,2,28.88,4.27
Australia,West Indies,4,3,1,38.95,5.36
England,Australia,16,12,4,36.76,5.97
England,Bangladesh,4,3,1,42.26,5.78
India,Pakistan,4,3,1,54.93,5.97
India,West Indies,10,6,4,52.35,5.93
England,Pakistan,10,7,3,44.62,5.78
India,New Zealand,13,9,4,39.33,5.38
Bangladesh,West Indies,6,4,2,50.03,5.48
India,Bangladesh,6,4,2,38.02,5.25
India,South Africa,12,8,4,43.1,5.69
South Africa,Bangladesh,6,4,2,45.39,5.76
West Indies,South Africa,3,2,1,26.15,5
England,New Zealand,11,7,4,39.43,6.73
South Africa,New Zealand,8,5,3,33.62,5.42
Australia,India,18,9,9,38.76,5.87
Australia,New Zealand,9,4,5,31.11,5.92
Bangladesh,Sri Lanka,7,4,3,26.25,5.16
England,India,6,3,3,44.92,6.41
England,South Africa,8,4,4,35.93,6.21
India,Australia,18,9,9,41.47,5.77
India,England,6,3,3,43.19,6.29
New Zealand,Australia,9,4,5,27.72,5.63
Pakistan,South Africa,6,3,3,38.64,5.18
South Africa,England,8,4,4,44.36,6.04
South Africa,Pakistan,6,3,3,42.8,5.01
Sri Lanka,Bangladesh,7,4,3,23.89,5.13
Afghanistan,Bangladesh,5,2,3,26.4,4.74
New Zealand,South Africa,8,3,5,31.23,5.07
New Zealand,England,11,4,7,34.76,5.84
Bangladesh,India,6,2,4,27.56,4.97
Bangladesh,South Africa,6,2,4,29.09,5.21
South Africa,India,12,4,8,29.27,5.46
South Africa,West Indies,3,1,2,29.83,5.01
West Indies,Bangladesh,6,2,4,29.26,4.79
New Zealand,India,13,4,9,26.34,5.15
Pakistan,England,10,3,7,32.05,5.31
Australia,England,16,4,12,31.88,5.72
Bangladesh,England,4,1,3,36.93,5.6
Pakistan,India,4,1,3,30.03,5.09
West Indies,Afghanistan,5,1,4,20.23,3.8
West Indies,Australia,4,1,3,25.76,5.03
West Indies,India,10,2,8,24.87,4.85
Bangladesh,New Zealand,9,2,7,28.31,5.08
Sri Lanka,India,9,2,7,28.39,5.04
Australia,South Africa,11,2,9,27.11,5.49
Pakistan,Australia,5,1,4,30.97,5.31
Sri Lanka,Australia,5,1,4,23.91,4.81
West Indies,Sri Lanka,5,1,4,24.67,5.7
Sri Lanka,Pakistan,11,2,9,25.4,4.87
West Indies,England,13,4,9,32.91,6.01
West Indies,Pakistan,6,1,5,26.44,4.97
Sri Lanka,England,10,4,6,33.19,5.78
Sri Lanka,New Zealand,8,2,6,27.62,5.61
Sri Lanka,South Africa,16,2,14,24.56,5.3
Pakistan,New Zealand,10,1,9,26.04,5.05
Afghanistan,India,1,0,1,31.5,5.04
Australia,Bangladesh,1,0,1,83,5.18
Bangladesh,Australia,1,1,0,18.2,4.08
India,Afghanistan,1,1,0,25.2,5.05
Afghanistan,Pakistan,1,0,1,42.83,5.14
Sri Lanka,Afghanistan,1,0,1,15.8,3.82
West Indies,New Zealand,3,0,3,16.71,4.63
Pakistan,Bangladesh,4,0,4,26.88,4.84
